S1/S0  S2/S1  S3/S2  S4/S3  S5/S4  S6/S5  S7/S6  S8/S7  S9/S8  S10/S9  
0.000  11.283  8.064  0.313  0.079  -0.140  -0.072  -0.010  -0.104  0.082  
0.000  11.285  8.082  0.329  0.053  -0.122  -0.069  0.005  -0.127  0.076  
0.000  11.285  8.104  0.331  0.036  -0.112  -0.064  -0.004  -0.112  0.062  
0.000  11.286  8.118  0.333  0.050  -0.104  -0.099  0.012  -0.108  0.068  
0.000  11.289  8.133  0.343  0.051  -0.107  -0.113  0.032  -0.118  0.071  
0.000  11.292  8.162  0.324  0.069  -0.122  -0.118  0.039  -0.122  0.087  
0.000  11.294  8.184  0.305  0.103  -0.128  -0.112  0.023  -0.098  0.061  
0.000  11.294  8.181  0.311  0.104  -0.132  -0.101  0.020  -0.101  0.056  
0.000  11.294  8.181  0.311  0.104  -0.132  -0.101  0.020  -0.101  0.056  
0.000  11.294  8.181  0.311  0.104  -0.132  -0.101  0.020  -0.101  0.056  
0.000  11.294  8.181  0.311  0.104  -0.132  -0.101  0.020  -0.101  0.056  
0.000  11.294  8.181  0.311  0.104  -0.132  -0.101  0.020  -0.101  0.056  
0.000  11.294  8.181  0.311  0.104  -0.132  -0.101  0.020  -0.101  0.056  
0.000  11.294  8.181  0.311  0.104  -0.132  -0.101  0.020  -0.101  0.056  
0.000  11.294  8.181  0.311  0.104  -0.132  -0.101  0.020  -0.101  0.056  
